config,gate,pipeline,P,R,F1(all),F1(sb),avg_preds,NDCG e2e,NDCG gc,NDCG dep,MAP e2e,MAP gc,MAP dep,gate F1
n0+ng1,refined,retr->llm [qwen-local],0.0998,0.4078,0.1603,0.3002,6.91,0.4900,0.6914,0.3092,0.3939,0.6052,0.2748,0.8464
n0+ng1,refined,gate->retr->llm [qwen-local],0.2117,0.3568,0.2657,0.2913,2.85,0.4176,0.5955,0.7407,0.3339,0.5222,0.7108,0.8464
n0+ng1+even42,refined,retr->llm [qwen-local],0.1334,0.4078,0.2010,0.3002,7.23,0.4900,0.6914,0.3440,0.3939,0.6052,0.2960,0.8757
n0+ng1+even42,refined,gate->retr->llm [qwen-local],0.2246,0.3568,0.2757,0.2913,3.76,0.4176,0.5955,0.6685,0.3339,0.5222,0.6267,0.8757
n0+ng3,refined,retr->llm [qwen-local],0.1000,0.4228,0.1618,0.2867,7.15,0.4964,0.6974,0.3683,0.4000,0.6108,0.3338,0.8464
n0+ng3,refined,gate->retr->llm [qwen-local],0.1948,0.3677,0.2547,0.2785,3.19,0.4226,0.6004,0.7436,0.3393,0.5276,0.7139,0.8464
n1+ng0,refined,retr->llm [qwen-local],0.0637,0.4925,0.1129,0.2307,13.07,0.5226,0.7355,0.3152,0.4188,0.6416,0.2781,0.8464
n1+ng0,refined,gate->retr->llm [qwen-local],0.1333,0.4296,0.2034,0.2279,5.45,0.4466,0.6346,0.7518,0.3576,0.5563,0.7200,0.8464
n1+ng1,refined,retr->llm [qwen-local],0.0796,0.4667,0.1359,0.2536,9.92,0.5127,0.7193,0.3801,0.4128,0.6275,0.3444,0.8464
n1+ng1,refined,gate->retr->llm [qwen-local],0.1543,0.4081,0.2239,0.2488,4.47,0.4384,0.6211,0.7489,0.3520,0.5438,0.7180,0.8464
n2+ng3,refined,retr->llm [qwen-local],0.0737,0.4809,0.1279,0.2471,11.02,0.5226,0.7325,0.3492,0.4221,0.6406,0.3133,0.8464
n2+ng3,refined,gate->retr->llm [qwen-local],0.1492,0.4186,0.2199,0.2440,4.74,0.4448,0.6301,0.7508,0.3580,0.5530,0.7198,0.8464
n3+ng0,refined,retr->llm [qwen-local],0.0619,0.4999,0.1101,0.2289,13.66,0.5310,0.7471,0.3114,0.4278,0.6546,0.2745,0.8464
n3+ng0,refined,gate->retr->llm [qwen-local],0.1310,0.4343,0.2013,0.2255,5.61,0.4514,0.6419,0.7524,0.3635,0.5659,0.7210,0.8464
n3+ng2,refined,retr->llm [qwen-local],0.0713,0.4952,0.1247,0.2386,11.74,0.5258,0.7372,0.3727,0.4239,0.6448,0.3363,0.8464
n3+ng2,refined,gate->retr->llm [qwen-local],0.1394,0.4300,0.2105,0.2352,5.22,0.4479,0.6350,0.7523,0.3603,0.5584,0.7210,0.8464
n3+ng2+even42,refined,retr->llm [qwen-local],0.0928,0.4952,0.1563,0.2386,12.62,0.5258,0.7372,0.4001,0.4239,0.6448,0.3491,0.8757
n3+ng2+even42,refined,gate->retr->llm [qwen-local],0.1485,0.4300,0.2207,0.2352,6.85,0.4479,0.6350,0.6848,0.3603,0.5584,0.6410,0.8757
n3+ng3,refined,retr->llm [qwen-local],0.0687,0.4891,0.1205,0.2364,12.03,0.5238,0.7345,0.3538,0.4229,0.6435,0.3178,0.8464
n3+ng3,refined,gate->retr->llm [qwen-local],0.1385,0.4273,0.2092,0.2336,5.22,0.4472,0.6336,0.7517,0.3610,0.5584,0.7208,0.8464
zero,refined,retr->llm [qwen-local],0.0929,0.3955,0.1505,0.2963,7.20,0.4845,0.6812,0.2478,0.3892,0.5973,0.2137,0.8464
zero,refined,gate->retr->llm [qwen-local],0.2116,0.3418,0.2614,0.2864,2.73,0.4094,0.5818,0.7359,0.3271,0.5109,0.7065,0.8464
zero,plain,retr->llm [qwen-local],0.0930,0.3955,0.1505,0.2963,7.19,0.4845,0.6812,0.2478,0.3892,0.5973,0.2137,0.8280
zero,plain,gate->retr->llm [qwen-local],0.1802,0.3796,0.2444,0.2939,3.56,0.4627,0.6517,0.6838,0.3711,0.5711,0.6510,0.8280
